URLLength,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,LetterRatioInURL,NoOfQMarkInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,DomainTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,label
41,32,0,0,62.29508196721312,0.048780487804878,0.9,0.8536585365853658,3,1,0,0,0.8536585365853658,0,1,1030,6601,1,0.2222222222222222,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2,5,21,0,1
68,42,0,0,49.38271604938272,0.0294117647058823,0.9,0.7058823529411765,3,3,0,0,0.7058823529411765,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,14,0,218,57.14285714285714,0.0184049079754601,0.5,0.4601226993865031,2,1,1,13,0.4601226993865031,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,17,0,0,50.0,0.03125,0.9,0.546875,3,1,0,0,0.546875,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,28,0,0,53.333333333333336,0.0555555555555555,0.9,0.5277777777777778,3,3,0,0,0.5277777777777778,0,0,10,66,1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,14,0,0,52.94117647058824,0.0327868852459016,0.9,0.8360655737704918,3,0,1,1,0.8360655737704918,0,0,128,25025,1,0.3265306122448979,1,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1,25,1,6,0,0,1
113,24,0,0,54.90196078431373,0.0265486725663716,0.9,0.831858407079646,3,0,1,3,0.831858407079646,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,30,0,0,52.459016393442624,0.0238095238095238,0.9,0.8571428571428571,3,0,1,2,0.8571428571428571,0,0,92,501,1,0.5652173913043478,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1
29,17,0,0,66.66666666666666,0.0689655172413793,0.9,0.7931034482758621,3,1,0,0,0.7931034482758621,0,0,14,326,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
98,26,0,15,58.620689655172406,0.0306122448979591,0.5,0.5612244897959183,2,1,1,2,0.5612244897959183,0,0,2514,537,1,0.9473684210526316,1,1,1,2,2,1,0,0,1,1,0,1,0,0,0,0,1,13,3,9,0,0,1
131,27,0,0,65.57377049180327,0.015267175572519,0.9,0.8244274809160306,3,1,1,6,0.8244274809160306,1,1,302,167851,1,0.16,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,27,0,0,1
51,32,0,0,59.70149253731343,0.0392156862745098,0.9,0.8627450980392157,3,1,0,0,0.8627450980392157,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,14,0,39,54.054054054054056,0.0125786163522012,0.85,0.6289308176100629,3,0,1,3,0.6289308176100629,1,0,587,596,1,0.4444444444444444,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,6,10,0,0,1
44,22,0,0,64.0,0.0681818181818181,0.9,0.5909090909090909,3,1,1,1,0.5909090909090909,0,1,457,601,1,0.2857142857142857,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,0,0,1
103,19,0,0,57.14285714285714,0.0194174757281553,0.9,0.8058252427184466,3,1,1,3,0.8058252427184466,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,20,0,15,53.333333333333336,0.0434782608695652,0.5,0.782608695652174,2,2,0,0,0.782608695652174,0,0,212,290,1,0.1311475409836065,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
51,26,0,2,64.0,0.0588235294117647,0.5,0.8235294117647058,2,2,0,0,0.8235294117647058,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,19,0,0,69.76744186046511,0.0789473684210526,0.9,0.7894736842105263,3,1,0,0,0.7894736842105263,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,27,0,0,73.01587301587301,0.037037037037037,0.9,0.6172839506172839,3,1,0,0,0.6172839506172839,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,16,0,0,64.0,0.0512820512820512,0.9,0.8205128205128205,3,1,0,0,0.8205128205128205,0,1,140,242963,1,0.3870967741935484,0,1,1,3,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,6,8,0,1
99,15,0,0,62.22222222222222,0.0202020202020202,0.9,0.7777777777777778,3,1,1,4,0.7777777777777778,0,1,0,2829,1,0.1818181818181818,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
60,35,0,0,56.47058823529412,0.0333333333333333,0.9,0.7833333333333333,3,3,1,1,0.7833333333333333,0,0,10,66,1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,32,0,0,59.45945945945946,0.05,0.9,0.7,3,3,0,0,0.7,0,1,10,66,1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,24,0,0,65.3061224489796,0.0576923076923076,0.9,0.8076923076923077,3,1,0,0,0.8076923076923077,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,24,0,0,67.6056338028169,0.0227272727272727,0.9,0.8295454545454546,3,2,1,2,0.8295454545454546,0,1,140,242963,1,0.3870967741935484,0,1,1,3,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,6,0,0,1
54,21,0,1,46.51162790697674,0.037037037037037,0.5,0.8333333333333334,2,0,1,1,0.8333333333333334,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,13,0,6,39.02439024390244,0.0483870967741935,0.5,0.7741935483870968,2,0,1,1,0.7741935483870968,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,17,0,0,54.54545454545454,0.0338983050847457,0.9,0.7627118644067796,3,0,0,0,0.7627118644067796,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,38,0,0,65.26315789473685,0.0350877192982456,0.9,0.8421052631578947,3,2,0,0,0.8421052631578947,0,1,0,245,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,25,0,0,65.51724137931035,0.0652173913043478,0.9,0.8260869565217391,3,1,0,0,0.8260869565217391,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,29,0,0,60.0,0.0555555555555555,0.9,0.8333333333333334,3,1,0,0,0.8333333333333334,0,0,2606,6905,1,0.1739130434782608,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1
52,18,0,0,57.77777777777777,0.0384615384615384,0.9,0.7692307692307693,3,0,0,0,0.7692307692307693,0,0,488,66500,1,0.5490196078431373,1,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,1,5,24,53,0,1,1
32,24,0,0,62.29508196721312,0.125,0.9,0.5625,3,1,0,0,0.5625,0,0,314,36389,1,0.5454545454545454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1
92,22,0,16,58.82352941176471,0.0326086956521739,0.5,0.5652173913043478,2,1,1,1,0.5652173913043478,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,24,0,0,61.53846153846154,0.0168067226890756,0.9,0.8403361344537815,3,1,1,3,0.8403361344537815,1,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,10,0,220,48.48484848484848,0.0198675496688741,0.5,0.6688741721854304,2,0,1,2,0.6688741721854304,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,10,0,181,45.16129032258064,0.0363636363636363,0.5,0.8,2,1,1,1,0.8,0,0,1023,20020,1,0.3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,34,5,25,0,0,1
23,12,0,0,54.54545454545454,0.0869565217391304,0.9,0.7391304347826086,3,0,0,0,0.7391304347826086,0,0,10,101,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,20,0,26,57.14285714285714,0.1034482758620689,0.5,0.7931034482758621,2,1,0,0,0.7931034482758621,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,6,0,161,50.0,0.0909090909090909,0.5,0.5909090909090909,2,0,0,0,0.5909090909090909,0,1,188,153,1,0.0967741935483871,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
52,14,0,0,68.57142857142857,0.0576923076923076,0.9,0.7692307692307693,3,1,0,0,0.7692307692307693,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,20,0,181,58.82352941176471,0.0789473684210526,0.5,0.7105263157894737,2,1,0,0,0.7105263157894737,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,50,0,0,52.27272727272727,0.0394736842105263,0.9,0.7631578947368421,3,3,1,1,0.7631578947368421,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
430,13,1,-1,45.71428571428572,0.0069767441860465,0.5,0.7302325581395349,2,2,1,38,0.7302325581395349,2,0,98,544,1,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,15,0,39,68.42105263157895,0.0535714285714285,0.85,0.6964285714285714,3,1,0,0,0.6964285714285714,0,0,0,114,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
70,20,0,15,45.16129032258064,0.0285714285714285,0.5,0.8571428571428571,2,1,1,1,0.8571428571428571,0,0,10,111,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,19,0,0,69.76744186046511,0.0333333333333333,0.9,0.6333333333333333,3,1,0,0,0.6333333333333333,0,1,34,200,1,0.3283582089552239,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1
65,12,0,0,64.51612903225806,0.0461538461538461,0.9,0.7384615384615385,3,1,1,2,0.7384615384615385,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,33,0,0,69.44444444444444,0.073170731707317,0.9,0.7560975609756098,3,1,1,1,0.7560975609756098,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,25,0,0,51.85185185185185,0.028169014084507,0.9,0.676056338028169,3,0,1,3,0.676056338028169,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,16,0,0,61.90476190476191,0.0240963855421686,0.9,0.7831325301204819,3,1,1,1,0.7831325301204819,1,1,138,32844,1,0.4285714285714285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,25,2,0,1
73,18,0,0,55.81395348837209,0.0273972602739726,0.9,0.547945205479452,3,0,1,1,0.547945205479452,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,30,0,0,53.125,0.0454545454545454,0.9,0.6136363636363636,3,1,1,2,0.6136363636363636,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
114,16,0,0,71.7948717948718,0.0263157894736842,0.9,0.7982456140350878,3,1,1,2,0.7982456140350878,1,0,93,945,1,0.1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1
127,50,0,0,52.27272727272727,0.0157480314960629,0.9,0.7007874015748031,3,3,1,8,0.7007874015748031,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,20,0,0,57.14285714285714,0.0202020202020202,0.9,0.8080808080808081,3,1,1,2,0.8080808080808081,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,20,0,0,61.90476190476191,0.0535714285714285,0.9,0.8035714285714286,3,1,1,1,0.8035714285714286,0,0,107,410,1,0.3076923076923077,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2,4,0,0,1
51,14,0,16,57.14285714285714,0.0392156862745098,0.5,0.803921568627451,2,1,0,0,0.803921568627451,0,0,49,1043,1,0.0625,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,1
33,14,0,135,68.57142857142857,0.0909090909090909,0.5,0.696969696969697,2,2,0,0,0.696969696969697,0,0,635,57139,1,0.05,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,2,29,18,0,0,1
46,37,0,10,48.57142857142857,0.0434782608695652,0.5,0.6739130434782609,2,5,1,1,0.6739130434782609,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,29,0,0,62.06896551724138,0.0555555555555555,0.9,0.8611111111111112,3,1,0,0,0.8611111111111112,0,0,2599,7080,1,0.1428571428571428,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1
101,6,0,125,40.0,0.0198019801980198,0.5,0.8613861386138614,2,0,1,5,0.8613861386138614,1,1,33,63,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,35,0,0,50.79365079365079,0.0465116279069767,0.9,0.7209302325581395,3,3,0,0,0.7209302325581395,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,27,0,0,62.96296296296296,0.0625,0.9,0.7708333333333334,3,1,1,3,0.7708333333333334,0,0,89,3909,1,0.25,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1
25,13,0,0,51.61290322580645,0.08,0.9,0.68,3,0,1,2,0.68,1,1,241,179,1,0.3448275862068966,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,20,2,5,0,0,1
108,25,0,0,64.0,0.0277777777777777,0.9,0.8240740740740741,3,1,1,2,0.8240740740740741,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,20,0,37,57.14285714285714,0.0512820512820512,0.5,0.8205128205128205,2,0,0,0,0.8205128205128205,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,14,0,72,54.054054054054056,0.0606060606060606,0.5,0.7575757575757576,4,1,0,0,0.7575757575757576,0,1,11,90,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
342,19,0,178,68.18181818181817,0.0087719298245614,0.5,0.4766081871345029,2,2,1,16,0.4766081871345029,0,1,9,80,1,0.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,29,0,12,57.14285714285714,0.0526315789473684,0.5,0.6842105263157895,3,1,1,1,0.6842105263157895,0,1,5,44,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,17,0,0,69.38775510204081,0.044776119402985,0.9,0.8208955223880597,3,1,1,2,0.8208955223880597,0,0,0,97,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,22,0,65,54.16666666666666,0.0483870967741935,0.5,0.5161290322580645,2,2,1,1,0.5161290322580645,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,13,0,39,52.94117647058824,0.048780487804878,0.85,0.8048780487804879,3,0,1,1,0.8048780487804879,0,0,62,106,1,0.2222222222222222,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,31,0,0,61.01694915254237,0.05,0.9,0.85,3,1,0,0,0.85,0,1,314,36389,1,0.5454545454545454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1
52,25,0,96,50.0,0.0576923076923076,0.5,0.7884615384615384,3,1,1,1,0.7884615384615384,0,0,0,252,0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,15,0,0,52.63157894736842,0.0465116279069767,0.9,0.813953488372093,3,0,1,1,0.813953488372093,0,0,13,155,1,0.1904761904761904,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,42,0,85,61.76470588235294,0.0212765957446808,0.5,0.7340425531914894,2,1,1,4,0.7340425531914894,0,0,1136,5026,1,0.144578313253012,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,3,11,0,0,1
204,27,0,0,57.6271186440678,0.0098039215686274,0.9,0.7941176470588235,3,1,1,6,0.7941176470588235,1,1,289,949,1,0.1111111111111111,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,5,0,1,1
94,24,0,0,67.6056338028169,0.0212765957446808,0.9,0.6914893617021277,3,2,1,1,0.6914893617021277,0,1,140,242963,1,0.3870967741935484,0,1,1,3,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,6,0,0,1
41,33,0,21,53.333333333333336,0.048780487804878,0.5,0.7804878048780488,2,3,1,1,0.7804878048780488,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,11,0,0,53.84615384615385,0.1052631578947368,0.9,0.5263157894736842,3,1,0,0,0.5263157894736842,0,0,545,378,1,0.0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,7,8,2,0,0,1
35,22,0,0,70.58823529411765,0.0571428571428571,0.9,0.7714285714285715,3,0,1,1,0.7714285714285715,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,26,0,0,60.0,0.0317460317460317,0.9,0.8412698412698413,3,0,0,0,0.8412698412698413,0,0,0,114,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
53,21,0,0,60.86956521739131,0.0566037735849056,0.9,0.7547169811320755,3,1,0,0,0.7547169811320755,0,0,9,85,1,0.0769230769230769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,44,0,0,54.34782608695652,0.0266666666666666,0.9,0.8,3,3,1,3,0.8,0,0,10,66,1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,27,0,104,53.333333333333336,0.0571428571428571,0.5,0.7428571428571429,2,1,0,0,0.7428571428571429,0,1,314,36389,1,0.5454545454545454,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1
210,14,0,0,77.77777777777779,0.0142857142857142,0.9,0.7571428571428571,3,1,1,22,0.7571428571428571,1,1,2,508,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
150,40,0,0,50.0,0.04,0.9,0.4333333333333333,3,3,1,1,0.4333333333333333,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,22,0,0,73.46938775510205,0.0769230769230769,0.9,0.7692307692307693,3,1,1,1,0.7692307692307693,0,0,715,481,1,0.3835616438356164,1,0,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,6,16,0,0,1
64,15,0,128,61.53846153846154,0.046875,0.5,0.796875,2,1,1,1,0.796875,0,0,680,9265,1,0.4571428571428571,1,1,1,2,2,0,0,0,1,1,1,1,0,0,0,0,1,1,38,48,0,0,1
106,20,0,2,65.21739130434783,0.0283018867924528,0.5,0.6698113207547169,2,2,1,5,0.6698113207547169,1,1,164,153,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,20,0,87,45.28301886792453,0.0588235294117647,0.5,0.7941176470588235,2,1,0,0,0.7941176470588235,0,1,312,962,1,0.72,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,18,3,8,0,8,1
60,14,0,7,60.60606060606061,0.05,0.5,0.75,2,1,1,1,0.75,0,0,194,1746,1,0.0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,2,7,19,0,0,1
25,14,0,0,61.90476190476191,0.08,0.9,0.76,3,0,0,0,0.76,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,8,0,3,53.84615384615385,0.0155038759689922,0.8,0.7984496124031008,3,0,1,13,0.7984496124031008,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,14,1,-1,50.0,0.0666666666666666,0.5,0.3666666666666666,3,2,0,0,0.3666666666666666,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,27,0,0,71.875,0.0571428571428571,0.9,0.7714285714285715,3,1,1,1,0.7714285714285715,0,0,32,171,1,0.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
32,18,0,64,48.78048780487805,0.0625,0.5,0.78125,2,0,1,1,0.78125,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,39,0,0,54.32098765432099,0.03125,0.9,0.734375,3,3,1,3,0.734375,0,0,10,66,1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,29,0,12,60.71428571428571,0.0526315789473684,0.5,0.7368421052631579,3,1,1,1,0.7368421052631579,0,1,5,44,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,50,0,0,52.27272727272727,0.0158730158730158,0.9,0.6825396825396826,3,3,1,8,0.6825396825396826,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,50,0,0,52.27272727272727,0.0158730158730158,0.9,0.7380952380952381,3,3,1,8,0.7380952380952381,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,15,0,0,60.0,0.0294117647058823,0.9,0.6862745098039216,3,0,1,1,0.6862745098039216,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,22,0,65,54.16666666666666,0.0348837209302325,0.5,0.5813953488372093,2,2,1,2,0.5813953488372093,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,12,0,0,54.54545454545454,0.074074074074074,0.9,0.7407407407407407,3,0,1,1,0.7407407407407407,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,24,0,0,57.14285714285714,0.0229885057471264,0.9,0.7701149425287356,3,1,1,2,0.7701149425287356,1,0,10,90,1,0.1739130434782608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
